Time;AMF_UE_NGAP_ID;ip_source;procedureCode;EPD;spare;SecHdr;Type;NAS_KSI;5GSRegType;5GSID;UESecCap;PayloadContainerType;PayloadContainer;RES;Seqn;EPD_2;spare_2;SecHdr_2;NASSecAlgo;EPD_3;spare_3;SecHdr_3;Type_2
6.570756;24;20.0.2.10;46;126;0;0;87;;;;;;;16;;;;;;;;;
6.572073;24;20.0.20.10;4;126;0;3;93;0;;;2;;;;0;126;0;0;0;;;;
6.572243;24;20.0.2.10;46;126;0;4;94;7;1;1;2;1;None;;0;126;0;0;;126;0;0;65
6.576712;24;20.0.20.10;14;126;0;2;66;;;2;;;;;1;126;0;0;;;;;
6.576985;24;20.0.2.10;46;126;0;2;67;;;;;;;;1;126;0;0;;;;;
6.57708;24;20.0.2.10;46;126;0;2;103;;;;;1;8;;2;126;0;0;;46;;;
6.768738;-1;20.0.2.10;15;126;0;0;65;7;1;1;2;1;None;;;;;;;;;;
6.780991;25;20.0.20.10;4;126;0;0;86;0;;;;;;;;;;;;;;;
6.781159;25;20.0.2.10;46;126;0;0;87;;;;;;;16;;;;;;;;;
6.782181;25;20.0.20.10;4;126;0;3;93;0;;;2;;;;0;126;0;0;0;;;;
6.782339;25;20.0.2.10;46;126;0;4;94;7;1;1;2;1;None;;0;126;0;0;;126;0;0;65
6.805088;25;20.0.20.10;14;126;0;2;66;;;2;;;;;1;126;0;0;;;;;
6.805375;25;20.0.2.10;46;126;0;2;67;;;;;;;;1;126;0;0;;;;;
6.805467;25;20.0.2.10;46;126;0;2;103;;;;;1;8;;2;126;0;0;;46;;;
6.968747;-1;20.0.2.10;15;126;0;0;65;7;1;1;2;1;None;;;;;;;;;;
6.981724;26;20.0.20.10;4;126;0;0;86;0;;;;;;;;;;;;;;;
6.981893;26;20.0.2.10;46;126;0;0;87;;;;;;;16;;;;;;;;;
6.98324;26;20.0.20.10;4;126;0;3;93;0;;;2;;;;0;126;0;0;0;;;;
6.983408;26;20.0.2.10;46;126;0;4;94;7;1;1;2;1;None;;0;126;0;0;;126;0;0;65
7.002439;26;20.0.20.10;14;126;0;2;66;;;2;;;;;1;126;0;0;;;;;
7.002762;26;20.0.2.10;46;126;0;2;67;;;;;;;;1;126;0;0;;;;;
7.002853;26;20.0.2.10;46;126;0;2;103;;;;;1;8;;2;126;0;0;;46;;;
7.168791;-1;20.0.2.10;15;126;0;0;65;7;1;1;2;1;None;;;;;;;;;;
7.183661;27;20.0.20.10;4;126;0;0;86;0;;;;;;;;;;;;;;;
7.183842;27;20.0.2.10;46;126;0;0;87;;;;;;;16;;;;;;;;;
7.184934;27;20.0.20.10;4;126;0;3;93;0;;;2;;;;0;126;0;0;0;;;;
7.185118;27;20.0.2.10;46;126;0;4;94;7;1;1;2;1;None;;0;126;0;0;;126;0;0;65
7.200456;27;20.0.20.10;14;126;0;2;66;;;2;;;;;1;126;0;0;;;;;
7.200773;27;20.0.2.10;46;126;0;2;67;;;;;;;;1;126;0;0;;;;;
7.20087;27;20.0.2.10;46;126;0;2;103;;;;;1;8;;2;126;0;0;;46;;;
7.368826;-1;20.0.2.10;15;126;0;0;65;7;1;1;2;1;None;;;;;;;;;;
7.37079;28;20.0.20.10;4;126;0;0;86;0;;;;;;;;;;;;;;;
7.370956;28;20.0.2.10;46;126;0;0;87;;;;;;;16;;;;;;;;;
7.37199;28;20.0.20.10;4;126;0;3;93;0;;;2;;;;0;126;0;0;0;;;;
7.372147;28;20.0.2.10;46;126;0;4;94;7;1;1;2;1;None;;0;126;0;0;;126;0;0;65
7.375999;28;20.0.20.10;14;126;0;2;66;;;2;;;;;1;126;0;0;;;;;
7.376273;28;20.0.2.10;46;126;0;2;67;;;;;;;;1;126;0;0;;;;;
7.376369;28;20.0.2.10;46;126;0;2;103;;;;;1;8;;2;126;0;0;;46;;;
7.568793;-1;20.0.2.10;15;126;0;0;65;7;1;1;2;1;None;;;;;;;;;;
7.586705;29;20.0.20.10;4;126;0;0;86;0;;;;;;;;;;;;;;;
7.586883;29;20.0.2.10;46;126;0;0;87;;;;;;;16;;;;;;;;;
7.587962;29;20.0.20.10;4;126;0;3;93;0;;;2;;;;0;126;0;0;0;;;;
7.588121;29;20.0.2.10;46;126;0;4;94;7;1;1;2;1;None;;0;126;0;0;;126;0;0;65
7.594754;29;20.0.20.10;14;126;0;2;66;;;2;;;;;1;126;0;0;;;;;
7.595037;29;20.0.2.10;46;126;0;2;67;;;;;;;;1;126;0;0;;;;;
7.595134;29;20.0.2.10;46;126;0;2;103;;;;;1;8;;2;126;0;0;;46;;;
7.768745;-1;20.0.2.10;15;126;0;0;65;7;1;1;2;1;None;;;;;;;;;;
7.79072;30;20.0.20.10;4;126;0;0;86;0;;;;;;;;;;;;;;;
7.790896;30;20.0.2.10;46;126;0;0;87;;;;;;;16;;;;;;;;;
7.792291;30;20.0.20.10;4;126;0;3;93;0;;;2;;;;0;126;0;0;0;;;;
7.792461;30;20.0.2.10;46;126;0;4;94;7;1;1;2;1;None;;0;126;0;0;;126;0;0;65
7.808699;30;20.0.20.10;14;126;0;2;66;;;2;;;;;1;126;0;0;;;;;
7.808984;30;20.0.2.10;46;126;0;2;67;;;;;;;;1;126;0;0;;;;;
7.809083;30;20.0.2.10;46;126;0;2;103;;;;;1;8;;2;126;0;0;;46;;;
7.968817;-1;20.0.2.10;15;126;0;0;65;7;1;1;2;1;None;;;;;;;;;;
7.990507;31;20.0.20.10;4;126;0;0;86;0;;;;;;;;;;;;;;;
7.990732;31;20.0.2.10;46;126;0;0;87;;;;;;;16;;;;;;;;;
7.99231;31;20.0.20.10;4;126;0;3;93;0;;;2;;;;0;126;0;0;0;;;;
7.992486;31;20.0.2.10;46;126;0;4;94;7;1;1;2;1;None;;0;126;0;0;;126;0;0;65
8.004956;31;20.0.20.10;14;126;0;2;66;;;2;;;;;1;126;0;0;;;;;
8.005237;31;20.0.2.10;46;126;0;2;67;;;;;;;;1;126;0;0;;;;;
8.005331;31;20.0.2.10;46;126;0;2;103;;;;;1;8;;2;126;0;0;;46;;;
8.1688;-1;20.0.2.10;15;126;0;0;65;7;1;1;2;1;None;;;;;;;;;;
8.173853;32;20.0.20.10;4;126;0;0;86;0;;;;;;;;;;;;;;;
8.174035;32;20.0.2.10;46;126;0;0;87;;;;;;;16;;;;;;;;;
8.175567;32;20.0.20.10;4;126;0;3;93;0;;;2;;;;0;126;0;0;0;;;;
8.175777;32;20.0.2.10;46;126;0;4;94;7;1;1;2;1;None;;0;126;0;0;;126;0;0;65
8.193527;32;20.0.20.10;14;126;0;2;66;;;2;;;;;1;126;0;0;;;;;
8.193848;32;20.0.2.10;46;126;0;2;67;;;;;;;;1;126;0;0;;;;;
8.193948;32;20.0.2.10;46;126;0;2;103;;;;;1;8;;2;126;0;0;;46;;;
8.369362;-1;20.0.2.10;15;126;0;0;65;7;1;1;2;1;None;;;;;;;;;;
8.377127;33;20.0.20.10;4;126;0;0;86;0;;;;;;;;;;;;;;;
8.378141;33;20.0.2.10;46;126;0;0;87;;;;;;;16;;;;;;;;;
8.384455;33;20.0.20.10;4;126;0;3;93;0;;;2;;;;0;126;0;0;0;;;;
8.385762;33;20.0.2.10;46;126;0;4;94;7;1;1;2;1;None;;0;126;0;0;;126;0;0;65
8.40666;33;20.0.20.10;14;126;0;2;66;;;2;;;;;1;126;0;0;;;;;
8.409037;33;20.0.2.10;46;126;0;2;67;;;;;;;;1;126;0;0;;;;;
8.409774;33;20.0.2.10;46;126;0;2;103;;;;;1;8;;2;126;0;0;;46;;;
8.568768;-1;20.0.2.10;15;126;0;0;65;7;1;1;2;1;None;;;;;;;;;;
8.577401;34;20.0.20.10;4;126;0;0;86;0;;;;;;;;;;;;;;;
8.577589;34;20.0.2.10;46;126;0;0;87;;;;;;;16;;;;;;;;;
8.578706;34;20.0.20.10;4;126;0;3;93;0;;;2;;;;0;126;0;0;0;;;;
